registro_id,orden,simbolo_primero,velocidad_primera_kmh,velocidad_naranja_kmh,velocidad_platano_kmh,confianza_naranja,confianza_platano,tiempo_primera_s,tiempo_segunda_s,diferencia_platano_menos_naranja,categoria_motivo,incluida,motivo_exclusion,origen_dato,version_app
SIM-000001,naranja_primero,naranja,90,90,70,66,81,2.000,6.938,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000002,naranja_primero,naranja,90,90,70,63,72,6.012,2.000,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000003,platano_primero,platano,90,90,90,71,74,2.000,7.939,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000004,naranja_primero,naranja,90,90,70,72,84,7.353,4.615,-20,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000005,platano_primero,platano,50,70,50,83,77,9.110,2.000,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000006,platano_primero,platano,50,90,50,57,58,9.353,6.761,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000007,platano_primero,platano,70,90,70,73,64,8.687,4.887,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000008,naranja_primero,naranja,90,90,50,68,61,7.421,3.645,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000009,platano_primero,platano,90,90,90,69,71,5.629,8.729,0,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000010,naranja_primero,naranja,90,90,50,61,45,4.709,3.347,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000011,platano_primero,platano,90,110,90,87,58,9.391,9.331,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000012,naranja_primero,naranja,50,50,50,77,71,4.607,6.845,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000013,naranja_primero,naranja,70,70,70,65,74,7.136,5.669,0,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000014,naranja_primero,naranja,50,50,50,83,66,11.382,4.885,0,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000015,naranja_primero,naranja,90,90,70,52,92,9.436,6.316,-20,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000016,naranja_primero,naranja,110,110,90,57,63,3.819,5.229,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000017,platano_primero,platano,90,90,90,81,63,5.980,10.759,0,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000018,platano_primero,platano,50,90,50,87,54,9.899,4.061,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000019,platano_primero,platano,70,110,70,60,84,11.948,4.078,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000020,platano_primero,platano,50,90,50,46,83,9.105,4.662,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000021,platano_primero,platano,90,110,90,65,58,3.877,13.483,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000022,naranja_primero,naranja,70,70,50,71,68,10.339,7.671,-20,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000023,platano_primero,platano,70,90,70,59,75,9.120,15.888,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000024,naranja_primero,naranja,90,90,90,95,70,7.844,6.844,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000025,naranja_primero,naranja,90,90,50,80,76,3.713,7.943,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
