PROLIFIC_PID,STUDY_ID,SESSION_ID,modo,registro_id,indice_asignacion,consentimiento,edad_18_mas,permiso_vigente,comprende_espanol,no_conduce_ahora,orden,simbolo_primero,velocidad_primera_kmh,velocidad_naranja_kmh,velocidad_platano_kmh,confianza_naranja,confianza_platano,tiempo_primera_s,tiempo_segunda_s,respuesta_abierta,inicio_utc,primera_render_utc,segunda_render_utc,fin_utc,origen_dato,version_app
,,,docente,SIM-000001,0,True,True,True,True,True,naranja_primero,naranja,90,90,70,66,81,2.0,6.938,Intenté escoger opciones que otra persona pudiera considerar puntos focales.,2026-09-02T08:00:00.000Z,2026-09-02T08:00:12.000Z,2026-09-02T08:00:15.250Z,2026-09-02T08:00:28.688Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000002,1,True,True,True,True,True,naranja_primero,naranja,90,90,70,63,72,6.012,2.0,Me basé en la geometría de las señales y en una asociación espontánea.,2026-09-02T08:07:00.000Z,2026-09-02T08:07:12.000Z,2026-09-02T08:07:19.262Z,2026-09-02T08:07:27.762Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000003,2,True,True,True,True,True,platano_primero,platano,90,90,90,71,74,2.0,7.939,La silueta redonda me pareció más focal; para la otra escogí una categoría cercana.,2026-09-02T08:14:00.000Z,2026-09-02T08:14:12.000Z,2026-09-02T08:14:15.250Z,2026-09-02T08:14:29.689Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000004,3,True,True,True,True,True,naranja_primero,naranja,90,90,70,72,84,7.353,4.615,La naranja parecía compacta y el plátano más ligero; fue una asociación intuitiva.,2026-09-02T08:21:00.000Z,2026-09-02T08:21:12.000Z,2026-09-02T08:21:20.603Z,2026-09-02T08:21:31.718Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000005,4,True,True,True,True,True,platano_primero,platano,50,70,50,83,77,9.11,2.0,La forma redonda me sugirió una velocidad estable y la silueta alargada una menor.,2026-09-02T08:28:00.000Z,2026-09-02T08:28:12.000Z,2026-09-02T08:28:22.360Z,2026-09-02T08:28:30.860Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000006,5,True,True,True,True,True,platano_primero,platano,50,90,50,57,58,9.353,6.761,La forma redonda me sugirió una velocidad estable y la silueta alargada una menor.,2026-09-02T08:35:00.000Z,2026-09-02T08:35:12.000Z,2026-09-02T08:35:22.603Z,2026-09-02T08:35:35.864Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000007,6,True,True,True,True,True,platano_primero,platano,70,90,70,73,64,8.687,4.887,Elegí categorías centrales porque imaginé una convención fácil de coordinar.,2026-09-02T08:42:00.000Z,2026-09-02T08:42:12.000Z,2026-09-02T08:42:21.937Z,2026-09-02T08:42:33.324Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000008,7,True,True,True,True,True,naranja_primero,naranja,90,90,50,68,61,7.421,3.645,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T08:49:00.000Z,2026-09-02T08:49:12.000Z,2026-09-02T08:49:20.671Z,2026-09-02T08:49:30.816Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000009,8,True,True,True,True,True,platano_primero,platano,90,90,90,69,71,5.629,8.729,Usé una intuición visual y mantuve una diferencia moderada entre las señales.,2026-09-02T08:56:00.000Z,2026-09-02T08:56:12.000Z,2026-09-02T08:56:18.879Z,2026-09-02T08:56:34.108Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000010,9,True,True,True,True,True,naranja_primero,naranja,90,90,50,61,45,4.709,3.347,Fue una elección por contraste visual entre una figura compacta y otra alargada.,2026-09-02T09:03:00.000Z,2026-09-02T09:03:12.000Z,2026-09-02T09:03:17.959Z,2026-09-02T09:03:27.806Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000011,10,True,True,True,True,True,platano_primero,platano,90,110,90,87,58,9.391,9.331,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T09:10:00.000Z,2026-09-02T09:10:12.000Z,2026-09-02T09:10:22.641Z,2026-09-02T09:10:38.472Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000012,11,True,True,True,True,True,naranja_primero,naranja,50,50,50,77,71,4.607,6.845,La curva de un símbolo y la geometría del otro orientaron mi elección.,2026-09-02T09:17:00.000Z,2026-09-02T09:17:12.000Z,2026-09-02T09:17:17.857Z,2026-09-02T09:17:31.202Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000013,12,True,True,True,True,True,naranja_primero,naranja,70,70,70,65,74,7.136,5.669,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T09:24:00.000Z,2026-09-02T09:24:12.000Z,2026-09-02T09:24:20.386Z,2026-09-02T09:24:32.555Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000014,13,True,True,True,True,True,naranja_primero,naranja,50,50,50,83,66,11.382,4.885,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T09:31:00.000Z,2026-09-02T09:31:12.000Z,2026-09-02T09:31:24.632Z,2026-09-02T09:31:36.017Z,sintetico_docente,1.0.0-demo
